Metric,Value
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.444543
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,92.486115
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,791
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,2
timing__unannotated_net__count,791
timing__unannotated_net_filtered__count,2
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79973
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79995
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.000270729
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000270593
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,4.95943e-05
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000270593
flow__warnings__count:STA-1648,2
flow__warnings__count:STA-1650,6
design_powergrid__voltage__worst,0.000270593
design_powergrid__voltage__worst__net:vccd1,1.79973
design_powergrid__drop__worst,0.000270729
design_powergrid__drop__worst__net:vccd1,0.000270729
design_powergrid__voltage__worst__net:vssd1,0.000270593
design_powergrid__drop__worst__net:vssd1,0.000270593
ir__voltage__worst,1.8
ir__drop__avg,5.12e-05
ir__drop__worst,0.000271
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
